City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Gizo,SB,80.98,moderate rain,-8.1,156.84,Imagination Island
2,Lufilufi,WS,77.0,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
6,Bernalillo,US,78.01,clear sky,35.05,-106.67,DoubleTree by Hilton Hotel Albuquerque
9,Kinkala,CG,80.6,thunderstorm,-4.36,14.76,Hotel la Vernande
13,Dingle,PH,76.69,overcast clouds,11.0,122.67,Camp Pasica
18,Kulhudhuffushi,MV,81.81,few clouds,6.62,73.07,Haajy Guest House 1
24,Port Said,EG,80.6,clear sky,31.26,32.28,Aracan Hotel
25,Salalah,OM,78.8,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
27,Duncan,US,77.0,clear sky,34.5,-97.96,Days Inn by Wyndham Duncan
34,Mitsamiouli,KM,78.31,broken clouds,-11.38,43.28,Foyer ADM
54,Jiwani,PK,81.84,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
56,Bengkulu,ID,75.4,light rain,-3.8,102.27,Grage Hotel Bengkulu
59,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
61,Mersing,MY,75.2,overcast clouds,2.43,103.84,Timotel Hotel
70,Puerto Ayora,EC,77.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
74,Rabak,SD,85.87,light rain,13.18,32.74,فندق ربك Rabak Hotel
75,Hilo,US,77.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
76,Atuona,PF,77.77,few clouds,-9.8,-139.03,Villa Enata
77,Hobyo,SO,80.1,clear sky,5.35,48.53,Osmani Hotel
81,Victoria,HK,78.01,light rain,22.29,114.16,Mini Hotel Central
82,Tupiza,BO,78.66,few clouds,-21.45,-65.72,La Torre Hotel
87,Faanui,PF,77.52,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
88,Acari,PE,77.76,clear sky,-15.43,-74.62,Hospedaje Ximens
100,Soyo,AO,76.82,scattered clouds,-6.13,12.37,Hotel Mpampa
103,San Quintin,MX,85.05,overcast clouds,30.48,-115.95,Old Mill Hotel
105,Balikpapan,ID,78.19,overcast clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
107,El Alto,PE,80.6,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
111,Puerto Cabezas,NI,84.2,haze,14.04,-83.39,Hotel Caribe
114,Kavaratti,IN,80.38,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
119,Alcantara,BR,87.8,few clouds,-2.41,-44.41,Pousada da Josefa
123,Skopelos,GR,78.01,overcast clouds,39.12,23.72,Skopelos Village Hotel
131,Esna,EG,89.6,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
132,Kirakira,SB,77.86,light rain,-10.45,161.92,SanBiz Lodge
133,Meulaboh,ID,76.75,heavy intensity rain,4.14,96.13,Kost Pria
134,Olinda,BR,84.2,few clouds,-8.01,-34.86,Hotel 5 Sóis
135,Murud,IN,78.48,scattered clouds,18.33,72.97,On Point Plaza
138,Ambon,ID,79.0,light rain,-3.7,128.18,Swiss-Belhotel Ambon
139,Butaritari,KI,82.13,clear sky,3.07,172.79,Isles Sunset Lodge
