City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gizo,SB,-8.1,156.84,80.98,77,90,7.0,moderate rain
1,Louis Trichardt,ZA,-23.04,29.9,66.7,75,96,1.95,light rain
2,Lufilufi,WS,-13.87,-171.6,77.0,94,40,4.7,scattered clouds
3,Cape Town,ZA,-33.93,18.42,64.0,87,75,19.46,broken clouds
4,Beyneu,KZ,45.32,55.2,45.21,54,0,11.5,clear sky
5,New Norfolk,AU,-42.78,147.06,42.01,88,1,2.15,clear sky
6,Bernalillo,US,35.05,-106.67,78.01,14,1,6.93,clear sky
7,Mataura,NZ,-46.19,168.86,46.99,91,98,11.99,light rain
8,Avarua,CK,-21.21,-159.78,69.8,64,86,5.82,overcast clouds
9,Kinkala,CG,-4.36,14.76,80.6,57,40,10.29,thunderstorm
10,Huarmey,PE,-10.07,-78.15,68.41,66,20,8.99,few clouds
11,Ushuaia,AR,-54.8,-68.3,39.2,69,75,33.33,shower rain
12,Tura,IN,25.52,90.22,73.78,95,63,3.76,moderate rain
13,Dingle,PH,11.0,122.67,76.69,90,100,2.82,overcast clouds
14,Upernavik,GL,72.79,-56.15,22.6,81,0,4.38,clear sky
15,Saldanha,ZA,-33.01,17.94,60.8,82,7,13.87,clear sky
16,Mahebourg,MU,-20.41,57.7,71.6,88,20,3.36,few clouds
17,Zaozerne,UA,45.16,33.28,69.4,68,58,6.58,broken clouds
18,Kulhudhuffushi,MV,6.62,73.07,81.81,76,11,11.43,few clouds
19,Havoysund,NO,71.0,24.66,46.4,81,40,17.22,scattered clouds
20,Barrow,US,71.29,-156.79,32.0,91,90,7.27,overcast clouds
21,Sao Joao Da Barra,BR,-21.64,-41.05,95.0,41,22,6.93,few clouds
22,Ironton,US,38.54,-82.68,70.0,59,1,4.7,clear sky
23,Port Alfred,ZA,-33.59,26.89,64.74,90,35,3.85,scattered clouds
24,Port Said,EG,31.26,32.28,80.6,74,0,14.99,clear sky
25,Salalah,OM,17.02,54.09,78.8,78,31,2.24,scattered clouds
26,Nivala,FI,63.92,24.97,52.0,95,100,7.0,overcast clouds
27,Duncan,US,34.5,-97.96,77.0,56,1,4.7,clear sky
28,Port Lincoln,AU,-34.73,135.87,51.26,75,50,16.64,scattered clouds
29,Breves,BR,-1.68,-50.48,92.17,47,84,6.62,broken clouds
30,Leningradskiy,RU,69.38,178.42,21.97,86,0,4.97,clear sky
31,Lebyazhye,RU,55.27,66.49,41.88,90,100,12.57,light rain
32,Vilcun,CL,-38.65,-72.23,53.6,76,75,8.05,broken clouds
33,Busselton,AU,-33.65,115.33,46.99,67,99,7.78,overcast clouds
34,Mitsamiouli,KM,-11.38,43.28,78.31,74,65,2.75,broken clouds
35,Grand Gaube,MU,-20.01,57.66,73.0,81,1,1.99,clear sky
36,Antalaha,MG,-14.9,50.28,73.92,90,68,5.84,broken clouds
37,Parambu,BR,-6.21,-40.69,96.08,14,22,9.66,few clouds
38,Yellowknife,CA,62.46,-114.35,44.6,93,90,13.87,overcast clouds
39,Paamiut,GL,61.99,-49.67,31.41,85,0,12.64,clear sky
40,Luderitz,NA,-26.65,15.16,64.29,66,0,24.61,clear sky
41,Altoona,US,40.52,-78.39,64.99,52,0,1.99,clear sky
42,Kelebia,HU,46.2,19.62,60.01,57,31,4.21,scattered clouds
43,La Ronge,CA,55.1,-105.28,48.2,81,90,6.93,overcast clouds
44,Akonolinga,CM,3.77,12.25,71.6,89,97,4.54,overcast clouds
45,Rikitea,PF,-23.12,-134.97,73.87,82,100,16.62,overcast clouds
46,Pevek,RU,69.7,170.31,28.72,89,1,9.28,clear sky
47,Ponta Do Sol,PT,32.67,-17.1,73.4,73,75,10.29,broken clouds
48,Qaanaaq,GL,77.48,-69.36,15.82,82,3,6.53,clear sky
49,Elko,US,41.0,-115.5,64.0,25,1,3.36,haze
50,Bethel,US,41.37,-73.41,66.99,48,1,12.75,clear sky
51,Isangel,VU,-19.55,169.27,71.17,82,49,7.2,scattered clouds
52,Sydney Mines,CA,46.24,-60.22,57.99,67,75,14.99,broken clouds
53,Jamestown,US,42.1,-79.24,62.01,58,1,12.75,clear sky
54,Jiwani,PK,25.05,61.74,81.84,73,0,5.06,clear sky
55,Olafsvik,IS,64.89,-23.71,43.25,81,100,9.78,light rain
56,Bengkulu,ID,-3.8,102.27,75.4,89,33,2.89,light rain
57,Orlik,RU,52.52,99.83,32.54,88,45,1.92,scattered clouds
58,Mantua,IT,45.17,10.78,63.0,81,100,5.1,overcast clouds
59,Kapaa,US,22.08,-159.32,78.8,83,75,5.82,broken clouds
60,Matelica,IT,43.25,13.01,59.0,66,84,4.92,broken clouds
61,Mersing,MY,2.43,103.84,75.2,100,88,4.7,overcast clouds
62,Roma,US,43.21,-75.46,64.99,45,20,8.05,few clouds
63,Hofn,IS,64.25,-15.21,47.86,93,78,9.17,broken clouds
64,Quatre Cocos,MU,-20.21,57.76,73.0,88,20,3.36,few clouds
65,Punta Arenas,CL,-53.15,-70.92,46.4,52,20,27.51,few clouds
66,Atar,MR,20.52,-13.05,95.59,31,97,10.78,overcast clouds
67,Chute-Aux-Outardes,CA,49.12,-68.4,50.0,81,20,18.34,few clouds
68,Yulara,AU,-25.24,130.99,48.2,100,40,5.82,scattered clouds
69,Port Elizabeth,ZA,-33.92,25.57,60.8,87,20,6.93,few clouds
70,Puerto Ayora,EC,-0.74,-90.35,77.0,53,20,18.34,few clouds
71,Surgut,RU,61.25,73.42,30.2,100,40,6.71,light shower snow
72,Obo,CF,5.4,26.49,72.1,90,99,2.17,moderate rain
73,Karratha,AU,-20.74,116.85,58.84,41,0,9.66,clear sky
74,Rabak,SD,13.18,32.74,85.87,52,69,3.69,light rain
75,Hilo,US,19.73,-155.09,77.0,73,1,6.93,clear sky
76,Atuona,PF,-9.8,-139.03,77.77,76,19,18.03,few clouds
77,Hobyo,SO,5.35,48.53,80.1,84,1,17.34,clear sky
78,Grand-Santi,GF,4.25,-54.38,98.78,31,1,5.32,clear sky
79,Hermanus,ZA,-34.42,19.23,64.0,78,2,1.01,clear sky
80,Bambous Virieux,MU,-20.34,57.76,73.0,88,20,3.36,few clouds
81,Victoria,HK,22.29,114.16,78.01,75,62,11.72,light rain
82,Tupiza,BO,-21.45,-65.72,78.66,16,11,14.85,few clouds
83,Kodiak,US,57.79,-152.41,46.4,65,1,6.93,clear sky
84,Jining,CN,35.41,116.58,53.38,44,95,4.21,light rain
85,Talnakh,RU,69.49,88.4,24.8,100,75,11.18,light snow
86,Kruisfontein,ZA,-34.0,24.73,60.01,88,0,3.58,clear sky
87,Faanui,PF,-16.48,-151.75,77.52,80,0,14.5,clear sky
88,Acari,PE,-15.43,-74.62,77.76,39,10,10.51,clear sky
89,Pultusk,PL,52.7,21.08,53.01,74,63,8.84,broken clouds
90,Zolotkovo,RU,55.53,41.11,52.36,59,76,7.14,broken clouds
