City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hovd,MN,2020-10-05 18:44:57,48.01,91.64,40.01,65,0,7.67
1,Byron Bay,AU,2020-10-05 18:49:03,-28.65,153.62,57.99,93,23,3.96
2,Puerto Ayora,EC,2020-10-05 18:46:55,-0.74,-90.35,75.2,60,0,19.46
3,Kapaa,US,2020-10-05 18:49:03,22.08,-159.32,82.4,74,75,11.41
4,Hilo,US,2020-10-05 18:44:53,19.73,-155.09,78.8,65,1,3.36
5,Nikolskoye,RU,2020-10-05 18:49:03,59.7,30.79,61.0,87,75,6.71
6,Bandar,ID,2020-10-05 18:49:03,2.05,99.75,73.38,93,100,1.95
7,Mount Isa,AU,2020-10-05 18:49:03,-20.73,139.5,71.6,49,0,10.29
8,Mahebourg,MU,2020-10-05 18:49:03,-20.41,57.7,71.6,88,90,5.82
9,Ushuaia,AR,2020-10-05 18:46:56,-54.8,-68.3,48.2,57,75,20.8
10,Lipari,IT,2020-10-05 18:49:04,38.47,14.95,73.99,76,100,4.85
11,Klaksvik,FO,2020-10-05 18:49:04,62.23,-6.59,50.0,100,95,8.05
12,Rock Springs,US,2020-10-05 18:49:05,41.59,-109.2,68.0,15,1,16.11
13,Havoysund,NO,2020-10-05 18:49:05,71.0,24.66,50.0,87,0,4.7
14,Grand Gaube,MU,2020-10-05 18:49:05,-20.01,57.66,71.01,81,100,5.01
15,Bathurst,AU,2020-10-05 18:44:08,-33.42,149.58,52.0,94,96,2.35
16,Ketchikan,US,2020-10-05 18:44:43,55.34,-131.65,53.6,100,90,9.17
17,Provideniya,RU,2020-10-05 18:49:05,64.38,-173.3,32.22,91,0,7.85
18,New Norfolk,AU,2020-10-05 18:49:06,-42.78,147.06,34.0,84,3,3.2
19,Butaritari,KI,2020-10-05 18:49:06,3.07,172.79,82.36,76,0,13.38
20,Punta Arenas,CL,2020-10-05 18:45:43,-53.15,-70.92,48.2,45,75,32.21
21,Tiksi,RU,2020-10-05 18:49:06,71.69,128.87,35.65,96,100,10.45
22,Lebu,CL,2020-10-05 18:49:06,-37.62,-73.65,49.77,70,0,16.35
23,Rikitea,PF,2020-10-05 18:45:10,-23.12,-134.97,73.83,80,100,15.57
24,Sumter,US,2020-10-05 18:49:07,28.71,-82.08,84.0,79,100,8.01
25,Hualmay,PE,2020-10-05 18:47:36,-11.1,-77.61,67.33,63,1,8.46
26,Lazaro Cardenas,MX,2020-10-05 18:47:25,17.96,-102.2,87.67,58,44,3.15
27,Kruisfontein,ZA,2020-10-05 18:49:07,-34.0,24.73,60.01,93,0,3.0
28,Asau,RO,2020-10-05 18:49:07,46.43,26.4,61.0,99,100,3.22
29,Bredasdorp,ZA,2020-10-05 18:45:29,-34.53,20.04,60.8,87,0,5.82
30,Karabuk,TR,2020-10-05 18:48:49,41.2,32.63,70.43,35,0,1.12
31,Palmer,US,2020-10-05 18:49:08,42.16,-72.33,64.4,55,20,5.82
32,Saint-Philippe,RE,2020-10-05 18:49:08,-21.36,55.77,68.0,94,79,13.87
33,Hanamaki,JP,2020-10-05 18:49:08,39.38,141.12,53.76,77,47,9.13
34,Severo-Kurilsk,RU,2020-10-05 18:49:08,50.68,156.12,52.84,92,100,10.94
35,Broome,US,2020-10-05 18:44:27,42.25,-75.83,59.0,46,100,1.99
36,Khatanga,RU,2020-10-05 18:47:16,71.97,102.5,20.68,98,98,5.57
37,Hithadhoo,MV,2020-10-05 18:49:09,-0.6,73.08,82.44,71,100,11.63
38,Sinnamary,GF,2020-10-05 18:47:16,5.38,-52.95,86.11,64,91,9.55
39,Husavik,IS,2020-10-05 18:49:09,66.04,-17.34,41.0,86,90,4.7
40,Valparaiso,CL,2020-10-05 18:49:05,-33.04,-71.63,64.4,48,100,8.05
41,Araguacu,BR,2020-10-05 18:49:10,-12.93,-49.83,105.93,11,0,8.08
42,Pemangkat,ID,2020-10-05 18:49:10,1.17,108.97,78.12,87,100,5.41
43,Cape Town,ZA,2020-10-05 18:46:21,-33.93,18.42,62.01,87,75,12.75
44,Los Llanos De Aridane,ES,2020-10-05 18:49:10,28.66,-17.92,71.6,78,75,10.29
45,Saint-Pierre,RE,2020-10-05 18:49:10,-21.34,55.48,68.0,94,82,13.87
46,Necochea,AR,2020-10-05 18:49:10,-38.55,-58.74,54.0,85,92,5.99
47,Fallon,US,2020-10-05 18:49:10,39.47,-118.78,78.01,15,1,2.71
48,Geraldton,AU,2020-10-05 18:49:11,-28.77,114.6,46.4,65,4,9.17
49,Richards Bay,ZA,2020-10-05 18:48:03,-28.78,32.04,68.88,83,100,12.01
50,Broken Hill,AU,2020-10-05 18:49:11,-31.95,141.43,55.4,58,100,14.99
51,Zapote,MX,2020-10-05 18:49:11,21.07,-102.8,71.35,33,0,10.27
52,Yellowknife,CA,2020-10-05 18:46:11,62.46,-114.35,39.2,80,90,11.41
53,Urucara,BR,2020-10-05 18:49:12,-2.54,-57.76,100.06,30,92,4.7
54,Qaanaaq,GL,2020-10-05 18:49:12,77.48,-69.36,18.73,84,96,11.52
55,Jamestown,US,2020-10-05 18:48:10,42.1,-79.24,55.0,66,75,14.99
56,Ribeira Grande,PT,2020-10-05 18:49:12,38.52,-28.7,71.6,68,75,3.36
57,Vaini,TO,2020-10-05 18:49:12,-21.2,-175.2,73.4,94,75,10.29
58,Laguna,US,2020-10-05 18:49:12,38.42,-121.42,84.99,27,1,4.7
59,Hobart,AU,2020-10-05 18:47:56,-42.88,147.33,39.2,84,1,8.05
60,East London,ZA,2020-10-05 18:49:12,-33.02,27.91,66.2,93,20,5.82
61,Longyearbyen,SJ,2020-10-05 18:49:12,78.22,15.64,41.0,80,75,3.36
62,Avarua,CK,2020-10-05 18:49:13,-21.21,-159.78,73.4,69,35,5.82
63,Isangel,VU,2020-10-05 18:49:13,-19.55,169.27,70.48,71,1,2.35
64,Fuerte Olimpo,PY,2020-10-05 18:49:13,-21.04,-57.87,100.51,25,0,8.16
65,Port Alfred,ZA,2020-10-05 18:49:13,-33.59,26.89,64.89,85,29,8.59
66,Bukachacha,RU,2020-10-05 18:49:13,52.98,116.92,28.51,89,0,2.33
67,Maceio,BR,2020-10-05 18:46:08,-9.67,-35.74,84.2,54,40,11.41
68,Walvis Bay,NA,2020-10-05 18:49:13,-22.96,14.51,59.0,77,0,5.82
69,Tasiilaq,GL,2020-10-05 18:49:13,65.61,-37.64,35.6,93,100,6.93
70,Moussoro,TD,2020-10-05 18:49:14,13.64,16.49,94.96,29,6,6.46
71,Esperance,AU,2020-10-05 18:49:14,-33.87,121.9,46.4,100,90,5.82
72,San Policarpo,PH,2020-10-05 18:49:14,12.18,125.51,79.29,85,71,4.56
73,Ngunguru,NZ,2020-10-05 18:49:14,-35.62,174.5,53.01,95,100,3.0
74,Valle De Angeles,HN,2020-10-05 18:49:14,14.15,-87.03,78.8,65,75,4.7
75,Culfa,AZ,2020-10-05 18:49:14,38.96,45.63,55.4,76,90,4.7
76,Kavieng,PG,2020-10-05 18:47:05,-2.57,150.8,82.18,76,100,13.62
77,Georgetown,MY,2020-10-05 18:46:58,5.41,100.34,78.8,88,20,2.24
78,Posse,BR,2020-10-05 18:49:15,-14.09,-46.37,96.82,13,0,12.28
79,Sao Paulo De Olivenca,BR,2020-10-05 18:47:14,-3.38,-68.87,94.32,42,50,2.82
80,Chapais,CA,2020-10-05 18:49:15,49.78,-74.85,48.2,51,40,11.41
81,Civitanova Marche,IT,2020-10-05 18:49:16,43.31,13.72,64.99,46,84,1.01
82,Aklavik,CA,2020-10-05 18:49:16,68.22,-135.01,37.4,86,90,11.41
83,Mataura,NZ,2020-10-05 18:49:16,-46.19,168.86,48.99,75,100,18.99
84,Buraydah,SA,2020-10-05 18:45:29,26.33,43.98,87.8,27,40,12.75
85,Albany,US,2020-10-05 18:48:44,42.6,-73.97,64.99,65,74,1.81
86,Coquimbo,CL,2020-10-05 18:47:27,-29.95,-71.34,60.8,59,100,13.87
87,Busselton,AU,2020-10-05 18:49:16,-33.65,115.33,48.99,55,100,8.23
88,Chuy,UY,2020-10-05 18:49:16,-33.7,-53.46,64.49,65,4,18.59
89,Tuktoyaktuk,CA,2020-10-05 18:47:16,69.45,-133.04,35.6,93,90,12.75
90,Arraial Do Cabo,BR,2020-10-05 18:47:09,-22.97,-42.03,77.0,78,75,19.46
91,Dikson,RU,2020-10-05 18:49:17,73.51,80.55,33.66,89,100,33.46
92,Torbay,CA,2020-10-05 18:49:17,47.67,-52.73,50.0,76,90,10.29
93,Hasaki,JP,2020-10-05 18:49:17,35.73,140.83,64.4,82,75,3.36
94,Muisne,EC,2020-10-05 18:49:17,0.6,-80.03,84.2,74,40,11.41
95,Bam,IR,2020-10-05 18:49:17,29.11,58.36,70.88,22,20,3.53
96,Pevek,RU,2020-10-05 18:49:17,69.7,170.31,28.56,91,77,13.71
97,De-Kastri,RU,2020-10-05 18:49:18,51.47,140.78,45.36,85,100,18.68
